АВС/ DEF;От;До;Емкость;Оператор;Регион
813;6629460;6629499;40;Ростелеком;Бокситогорский |Ленинградская область
813;6629500;6629799;300;Ростелеком;Бокситогорский |Ленинградская область
813;6629800;6629809;10;Ростелеком;Бокситогорский |Ленинградская область
813;6629810;6629859;50;Ростелеком;Бокситогорский |Ленинградская область
813;6629860;6629999;140;Ростелеком;Бокситогорский |Ленинградская область
813;6630000;6632999;3000;Петербург Транзит Телеком;Бокситогорский |Ленинградская область
813;6633000;6633099;100;Ростелеком;Бокситогорск |Ленинградская область
813;6633100;6639999;6900;Петербург Транзит Телеком;Бокситогорский |Ленинградская область
813;6640000;6649999;10000;Ростелеком;Бокситогорский |Ленинградская область
813;6651000;6652199;1200;Ростелеком;Бокситогорский |Ленинградская область
813;6653110;6653159;50;Ростелеком;Бокситогорский |Ленинградская область
813;6653200;6653399;200;Ростелеком;Бокситогорский |Ленинградская область
813;6653400;6653499;100;Ростелеком;Бокситогорский |Ленинградская область
813;6653800;6653809;10;Ростелеком;Бокситогорский |Ленинградская область
813;6653810;6653859;50;Ростелеком;Бокситогорский |Ленинградская область
813;6653860;6653899;40;Ростелеком;Бокситогорский |Ленинградская область
813;6654110;6654159;50;Ростелеком;Бокситогорский |Ленинградская область
813;6654200;6654299;100;Ростелеком;Бокситогорский |Ленинградская область
813;6654300;6654399;100;Ростелеком;Бокситогорский |Ленинградская область
813;6655108;6655299;192;Ростелеком;Бокситогорский |Ленинградская область
813;6656200;6656399;200;Ростелеком;Бокситогорский |Ленинградская область
813;6656400;6656455;56;Ростелеком;Бокситогорский |Ленинградская область
813;6657300;6657399;100;Ростелеком;Бокситогорский |Ленинградская область
813;6657400;6657599;200;МегаФон;Бокситогорский |Ленинградская область
813;6658200;6658209;10;Ростелеком;Бокситогорский |Ленинградская область
813;6658210;6658259;50;Ростелеком;Бокситогорский |Ленинградская область
813;6658260;6658299;40;Ростелеком;Бокситогорский |Ленинградская область
813;6658300;6658399;100;Ростелеком;Бокситогорский |Ленинградская область
813;6658600;6658609;10;Ростелеком;Бокситогорский |Ленинградская область
813;6658610;6658659;50;Ростелеком;Бокситогорский |Ленинградская область
813;6658660;6658699;40;Ростелеком;Бокситогорский |Ленинградская область
813;6658700;6658799;100;Ростелеком;Бокситогорский |Ленинградская область
813;6661100;6661399;300;Ростелеком;Бокситогорский |Ленинградская область
813;6661400;6661409;10;Ростелеком;Бокситогорский |Ленинградская область
813;6661410;6661459;50;Ростелеком;Бокситогорский |Ленинградская область
813;6661460;6661609;150;Ростелеком;Бокситогорский |Ленинградская область
813;6661610;6661659;50;Ростелеком;Бокситогорский |Ленинградская область
813;6661660;6661699;40;Ростелеком;Бокситогорский |Ленинградская область
813;6663100;6663327;228;Ростелеком;Бокситогорский |Ленинградская область
813;6664200;6664363;164;Ростелеком;Бокситогорский |Ленинградская область
813;6665100;6665199;100;Ростелеком;Бокситогорский |Ленинградская область
813;6665300;6665399;100;Ростелеком;Бокситогорский |Ленинградская область
813;6670000;6689999;20000;Ростелеком;Бокситогорский |Ленинградская область
813;6690000;6690999;1000;Вымпел-Коммуникации;Бокситогорск |Ленинградская область
813;6691000;6691099;100;Северен-Телеком;Бокситогорск |Ленинградская область
813;6694000;6694999;1000;Ростелеком;Бокситогорск |Ленинградская область
813;6695000;6695199;200;Ростелеком;Бокситогорский |Ленинградская область
813;6696000;6696099;100;МегаФон;Бокситогорск |Ленинградская область
813;6696100;6696199;100;Ростелеком;Бокситогорский |Ленинградская область
813;6698000;6698199;200;Ростелеком;Пикалево |Ленинградская область
813;6698200;6698399;200;Ростелеком;Бокситогорский |Ленинградская область
813;6700000;6709999;10000;Ростелеком;Тихвинский |Ленинградская область
813;6730000;6730999;1000;МУЛЬТИКОМ ГРУПП;Тихвин |Ленинградская область
813;6731000;6731099;100;Северен-Телеком;Тихвин |Ленинградская область
813;6731100;6731499;400;Российские железные дороги;Тихвин |Ленинградская область
813;6731500;6731999;500;ОБИТ;Тихвин |Ленинградская область
813;6732258;6733057;800;Санкт-Петербургский ТЕЛЕПОРТ;Тихвин |Ленинградская область
813;6733100;6733199;100;Ростелеком;Тихвинский |Ленинградская область
