АВС/ DEF;От;До;Емкость;Оператор;Регион
301;2100000;2109999;10000;АСВТ(Москва);Улан - Удэ |Республика Бурятия
301;2110000;2129999;20000;Ростелеком;Улан - Удэ |Республика Бурятия
301;2150000;2169999;20000;Ростелеком;Улан - Удэ |Республика Бурятия
301;2180000;2189999;10000;Ростелеком;Улан - Удэ |Республика Бурятия
301;2191000;2199999;9000;Ростелеком;Улан - Удэ |Республика Бурятия
301;2200000;2201999;2000;Компания ТрансТелеКом;Улан - Удэ |Республика Бурятия
301;2202000;2202499;500;МОБИЛОН;Улан - Удэ |Республика Бурятия
301;2204000;2204499;500;ПРЕСТИЖ-ИНТЕРНЕТ;Улан - Удэ |Республика Бурятия
301;2204500;2205499;1000;Фрегат;Улан - Удэ |Республика Бурятия
301;2205500;2206499;1000;Вымпел-Коммуникации;Улан - Удэ |Республика Бурятия
301;2206500;2209499;3000;Межрегиональный ТранзитТелеком;Улан - Удэ |Республика Бурятия
301;2209500;2209513;14;МегаФон;Улан - Удэ |Республика Бурятия
301;2210000;2233999;24000;Ростелеком;Улан - Удэ |Республика Бурятия
301;2235000;2235999;1000;Ростелеком;Улан - Удэ |Республика Бурятия
301;2237000;2239999;3000;Ростелеком;Улан - Удэ |Республика Бурятия
301;2240000;2249999;10000;Байкалвестком;Улан - Удэ |Республика Бурятия
301;2250000;2281999;32000;Ростелеком;Улан - Удэ |Республика Бурятия
301;2282000;2284999;3000;Российские железные дороги;Улан - Удэ |Республика Бурятия
301;2285000;2285499;500;Ростелеком;Улан - Удэ |Республика Бурятия
301;2286000;2287999;2000;Ростелеком;Улан - Удэ |Республика Бурятия
301;2288100;2288199;100;Ростелеком;Улан - Удэ |Республика Бурятия
301;2288200;2288399;200;Вымпел-Коммуникации;Улан - Удэ |Республика Бурятия
301;2288500;2288799;300;Ростелеком;Улан - Удэ |Республика Бурятия
301;2288800;2288899;100;Гамма Телеком;Улан - Удэ |Республика Бурятия
301;2289000;2289099;100;Ростелеком;Улан - Удэ |Республика Бурятия
301;2289400;2289599;200;Ростелеком;Улан - Удэ |Республика Бурятия
301;2290000;2292999;3000;Ростелеком;Улан - Удэ |Республика Бурятия
